exp_id,seed,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_units
E60,42,C-hole,0.3903007507324219,nan,0.5882667303085327,nan,-0.4062821865081787,nan,53_LOOCV
E60,42,C-triplet,0.7040483951568604,nan,0.8487350940704346,nan,-0.29692935943603516,nan,49_LOOCV
E61,42,A_5fold,0.17119300365447998,0.0029376400634646416,0.238567516207695,0.0051582930609583855,0.6793431043624878,0.014407308772206306,5_folds
E61,42,B_5fold,0.10254212468862534,0.004252458456903696,0.1555633395910263,0.006895942147821188,0.7615195512771606,0.018253684043884277,5_folds
E61,42,C-hole,0.39578521251678467,nan,0.5279231071472168,nan,-0.13257062435150146,nan,53_LOOCV
E61,42,C-triplet,0.7868165969848633,nan,0.9852257370948792,nan,-0.7476061582565308,nan,49_LOOCV
E62,42,A_5fold,0.16681595146656036,0.004628952592611313,0.23469097912311554,0.006670146714895964,0.6898044347763062,0.013747968710958958,5_folds
E62,42,B_5fold,0.09822884947061539,0.0025532206054776907,0.15186592936515808,0.006421429105103016,0.7724052667617798,0.020055871456861496,5_folds
E62,42,C-hole,0.37486523389816284,nan,0.5176094770431519,nan,-0.08875036239624023,nan,53_LOOCV
E62,42,C-triplet,0.790367841720581,nan,0.9999615550041199,nan,-0.800274133682251,nan,49_LOOCV
E63,42,A_5fold,0.15200021862983704,0.007425164338201284,0.21117429435253143,0.00962318666279316,0.7483615875244141,0.023298177868127823,5_folds
E63,42,B_5fold,0.08397785574197769,0.0023077635560184717,0.12753966450691223,0.0041375490836799145,0.8397054672241211,0.00982788484543562,5_folds
E63,42,C-hole,0.3451341986656189,nan,0.5054095983505249,nan,-0.0380321741104126,nan,53_LOOCV
E63,42,C-triplet,0.7591754198074341,nan,0.9543514251708984,nan,-0.6397918462753296,nan,49_LOOCV
E66,42,A_5fold,0.15349625051021576,0.0070466273464262486,0.2143477499485016,0.009632016532123089,0.741101861000061,0.019167710095643997,5_folds
E66,42,B_5fold,0.08526420593261719,0.008434562012553215,0.12454475462436676,0.009310256689786911,0.8466825485229492,0.02169683203101158,5_folds
E66,42,C-hole,0.3822869658470154,nan,0.5167568325996399,nan,-0.085166335105896,nan,53_LOOCV
