target,reference,compared_to,n_mols,mae_ref,mae_other,mae_diff,mae_diff_ci_low,mae_diff_ci_high,ref_wins,ref_loses,wilcoxon_p
loocv_c_hole,E66,E60,53,0.3820124566555023,0.41365291656188247,-0.03164045990638015,-0.11483244997150494,0.04996070794339445,25,28,0.580059514896226
loocv_c_hole,E66,E61,53,0.3820124566555023,0.3846042060627128,-0.002591749407210464,-0.04209000710046516,0.03906247728275806,27,26,0.8978600590662027
loocv_c_hole,E66,E62,53,0.3820124566555023,0.3861401637770095,-0.004127707121507174,-0.05548412133500261,0.04435447912733502,28,25,0.8213993691789429
loocv_c_hole,E66,E63,53,0.3820124566555023,0.36822716188880633,0.013785294766695988,-0.021417399650474792,0.04865379564042356,23,30,0.1977190728837136
loocv_c_hole,E66,E65,53,0.3820124566555023,0.4027691517236098,-0.020756695068107456,-0.09917413370226913,0.05523285356894978,28,25,0.7600460022796247
loocv_c_hole,E66,E68,53,0.3820124566555023,0.3820881320620483,-7.567540654596083e-05,-0.017334937149623666,0.017455523250237994,30,23,0.5620116738885452
loocv_c_hole,E66,E69,53,0.3820124566555023,0.3700394591070571,0.011972997548445219,-0.02033235652829117,0.04272029062487042,26,27,0.42817269421763693
loocv_c_hole,E66,E70,53,0.3820124566555023,0.37725235212523983,0.004760104530262488,-0.033279937871222215,0.0424796902065007,23,30,0.580059514896226
loocv_c_triplet,E66,E60,49,0.6594736113840219,0.7471117948999211,-0.08763818351589914,-0.22972891938929652,0.05341916649925469,28,21,0.17448524444612445
loocv_c_triplet,E66,E61,49,0.6594736113840219,0.7630151534567073,-0.1035415420726854,-0.2195018181387259,0.004302882600803712,31,18,0.04488403722822909
loocv_c_triplet,E66,E62,49,0.6594736113840219,0.7837360099870332,-0.12426239860301125,-0.254212611913681,-0.0069323391938696756,30,19,0.04488403722822909
loocv_c_triplet,E66,E63,49,0.6594736113840219,0.7620984413185898,-0.1026248299345679,-0.20493237205914083,-0.002256311810746542,32,17,0.04170385423242351
loocv_c_triplet,E66,E65,49,0.6594736113840219,0.6698728824148372,-0.010399271030815282,-0.14212084163208405,0.11676764202361195,27,22,0.8514308418474705
loocv_c_triplet,E66,E68,49,0.6594736113840219,0.6329158203942435,0.026557790989778396,0.0006350618235919431,0.05510740547764058,17,32,0.06998960780461516
loocv_c_triplet,E66,E69,49,0.6594736113840219,0.6161946350214432,0.043278976362578714,-0.0006770512279198876,0.09158061523826755,21,28,0.18093330554214404
loocv_c_triplet,E66,E70,49,0.6594736113840219,0.7785144022532872,-0.11904079086926522,-0.22506456959004303,-0.015317685750066038,35,14,0.04274245452535652
