exp_id,seed,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_units
E71,42,A_5fold,0.15032443404197693,0.005814202595502138,0.21245190501213074,0.011564211919903755,0.7452520132064819,0.027078038081526756,5_folds
E71,42,B_5fold,0.0811665803194046,0.002575143938884139,0.12436895072460175,0.004769873805344105,0.8477594256401062,0.007419895846396685,5_folds
E71,42,C-hole,0.36907875537872314,nan,0.5015909075737,nan,-0.022405624389648438,nan,53_LOOCV
E71,42,C-triplet,0.6398226618766785,nan,0.8422347903251648,nan,-0.2771395444869995,nan,49_LOOCV
E71,123,A_5fold,0.15065914392471313,0.004583591595292091,0.20946535468101501,0.0067407661117613316,0.7528699636459351,0.012845426797866821,5_folds
E71,123,B_5fold,0.08292123675346375,0.001983248395845294,0.1277812272310257,0.0033015478402376175,0.8391129374504089,0.008508172817528248,5_folds
E71,123,C-hole,0.38364917039871216,nan,0.5300365090370178,nan,-0.1416565179824829,nan,53_LOOCV
E71,123,C-triplet,0.653075098991394,nan,0.8240038156509399,nan,-0.22244811058044434,nan,49_LOOCV
E71,456,A_5fold,0.15176384150981903,0.007520830724388361,0.21219205856323242,0.011041678488254547,0.7463642954826355,0.019951706752181053,5_folds
E71,456,B_5fold,0.08555404841899872,0.0021505614276975393,0.12878456711769104,0.005067332182079554,0.8367218971252441,0.008722224272787571,5_folds
E71,456,C-hole,0.37478363513946533,nan,0.5113186836242676,nan,-0.0624469518661499,nan,53_LOOCV
E71,456,C-triplet,0.6813515424728394,nan,0.8485226631164551,nan,-0.29628026485443115,nan,49_LOOCV
E71,789,A_5fold,0.152408629655838,0.006318071391433477,0.21435311436653137,0.0050974958576262,0.7409874200820923,0.015058303251862526,5_folds
E71,789,B_5fold,0.0812617689371109,0.002421653363853693,0.12558501958847046,0.004119772929698229,0.8444346189498901,0.0117724584415555,5_folds
E71,789,C-hole,0.3806276023387909,nan,0.5259721279144287,nan,-0.12421488761901855,nan,53_LOOCV
E71,789,C-triplet,0.6187634468078613,nan,0.7824656963348389,nan,-0.10230731964111328,nan,49_LOOCV
E71,1000,A_5fold,0.14892259240150452,0.006416738033294678,0.2108665257692337,0.011309693567454815,0.7491394281387329,0.02507251873612404,5_folds
E71,1000,B_5fold,0.08118443191051483,0.0018091922393068671,0.12437257915735245,0.0029901666566729546,0.8476909399032593,0.005488736554980278,5_folds
E71,1000,C-hole,0.3701748251914978,nan,0.500643253326416,nan,-0.018545866012573242,nan,53_LOOCV
E71,1000,C-triplet,0.670600414276123,nan,0.8322724103927612,nan,-0.24710500240325928,nan,49_LOOCV
