target,reference,compared_to,n_mols,mae_ref,mae_other,rmse_ref,rmse_other,r2_ref,r2_other,mae_diff,mae_diff_ci_low,mae_diff_ci_high,wilcoxon_stat,wilcoxon_p,ref_wins,ref_loses,ties
loocv_c_hole,E71,E66,53,0.37363374851784614,0.3820124566555023,0.5082746951310998,0.521993428703487,-0.049834663377534616,-0.10727119625286252,-0.008378708137656177,-0.026384120336118727,0.009259117211935642,625.0,0.42303022727716066,31,22,0
loocv_c_triplet,E71,E66,49,0.6536033080548657,0.6594736113840219,0.825476091311455,0.8230232598084716,-0.22682054431438137,-0.21954059194543873,-0.005870303329156279,-0.04373560791112934,0.02929613553747822,603.0,0.9293119985947342,23,26,0
