exp_id,seed,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,n_units
E65,42,C-hole,0.38152024149894714,nan,0.5760281682014465,nan,-0.348376989364624,nan,53_LOOCV
E65,42,C-triplet,0.6681996583938599,nan,0.8072976469993591,nan,-0.17338192462921143,nan,49_LOOCV
E68,42,A_5fold,0.1488637626171112,0.004161343909800053,0.21118485927581787,0.006600730586796999,0.7484978437423706,0.017429130151867867,5_folds
E68,42,B_5fold,0.08194433152675629,0.0034500276669859886,0.12064305692911148,0.005071226507425308,0.8565902709960938,0.010257228277623653,5_folds
E68,42,C-hole,0.3945545554161072,nan,0.5330063104629517,nan,-0.15448570251464844,nan,53_LOOCV
E68,42,C-triplet,0.6225853562355042,nan,0.8058759570121765,nan,-0.16925287246704102,nan,49_LOOCV
E69,42,A_5fold,0.16962333023548126,0.00870440248399973,0.23845887184143066,0.013753760606050491,0.6794441342353821,0.030561598017811775,5_folds
E69,42,B_5fold,0.09965808689594269,0.0038150681648403406,0.15328839421272278,0.006677275989204645,0.7681189179420471,0.02057558298110962,5_folds
E69,42,C-hole,0.35828202962875366,nan,0.4922582805156708,nan,0.015286386013031006,nan,53_LOOCV
E69,42,C-triplet,0.6354122757911682,nan,0.8294820189476013,nan,-0.23875653743743896,nan,49_LOOCV
E70,42,A_5fold,0.15561895072460175,0.003990080673247576,0.21618930995464325,0.004135820548981428,0.7366490960121155,0.011873885989189148,5_folds
E70,42,B_5fold,0.08268817514181137,0.0038768721278756857,0.1243913546204567,0.00559952249750495,0.8472880125045776,0.01422254741191864,5_folds
E70,42,C-hole,0.37543076276779175,nan,0.5291879773139954,nan,-0.13800418376922607,nan,53_LOOCV
E70,42,C-triplet,0.7850046753883362,nan,0.9709136486053467,nan,-0.6972007751464844,nan,49_LOOCV
E65,123,C-hole,0.3982594609260559,nan,0.6056298017501831,nan,-0.4905219078063965,nan,53_LOOCV
E65,123,C-triplet,0.6175058484077454,nan,0.7476056218147278,nan,-0.0062760114669799805,nan,49_LOOCV
E68,123,A_5fold,0.15587106347084045,0.011195044964551926,0.21744215488433838,0.01118327584117651,0.7336367964744568,0.0210789293050766,5_folds
E68,123,B_5fold,0.08162176609039307,0.003818432567641139,0.12316586077213287,0.003928313031792641,0.8506819009780884,0.005980234127491713,5_folds
E68,123,C-hole,0.3776310682296753,nan,0.507154107093811,nan,-0.04521059989929199,nan,53_LOOCV
E68,123,C-triplet,0.6256426572799683,nan,0.8130174875259399,nan,-0.19006812572479248,nan,49_LOOCV
E69,123,A_5fold,0.16986186802387238,0.007331618573516607,0.23778097331523895,0.008503295481204987,0.680820643901825,0.02823973260819912,5_folds
E69,123,B_5fold,0.0990600734949112,0.0019945853855460882,0.15236881375312805,0.003974460996687412,0.7710480690002441,0.015134362503886223,5_folds
E69,123,C-hole,0.36602431535720825,nan,0.4995403289794922,nan,-0.014063239097595215,nan,53_LOOCV
E69,123,C-triplet,0.6066997051239014,nan,0.7467969655990601,nan,-0.004100322723388672,nan,49_LOOCV
E70,123,A_5fold,0.15145666897296906,0.004986826796084642,0.21380892395973206,0.004037535283714533,0.7425634264945984,0.007639819756150246,5_folds
E70,123,B_5fold,0.08027659356594086,0.0019458357710391283,0.12212438881397247,0.00405540969222784,0.8528827428817749,0.011376961134374142,5_folds
E70,123,C-hole,0.39306172728538513,nan,0.5345112681388855,nan,-0.16101455688476562,nan,53_LOOCV
E70,123,C-triplet,0.7750491499900818,nan,0.9660441875457764,nan,-0.6802195310592651,nan,49_LOOCV
E65,456,C-hole,0.4123518168926239,nan,0.6062001585960388,nan,-0.493330717086792,nan,53_LOOCV
E65,456,C-triplet,0.7186346054077148,nan,0.9233959913253784,nan,-0.5351401567459106,nan,49_LOOCV
E68,456,A_5fold,0.15584801137447357,0.0033570542000234127,0.21849007904529572,0.0041999113745987415,0.730907678604126,0.01440993882715702,5_folds
E68,456,B_5fold,0.08353892713785172,0.0027754916809499264,0.12394832074642181,0.003926993813365698,0.8487126231193542,0.007334508001804352,5_folds
E68,456,C-hole,0.35732823610305786,nan,0.5055193305015564,nan,-0.038483262062072754,nan,53_LOOCV
E68,456,C-triplet,0.6094485521316528,nan,0.789819061756134,nan,-0.1231229305267334,nan,49_LOOCV
E69,456,A_5fold,0.15058639645576477,0.007197438273578882,0.2130933701992035,0.01120300218462944,0.7440928816795349,0.021807700395584106,5_folds
E69,456,B_5fold,0.08849802613258362,0.004608403891324997,0.1341152936220169,0.003925593104213476,0.8228581547737122,0.008392459712922573,5_folds
E69,456,C-hole,0.37517663836479187,nan,0.5235768556594849,nan,-0.1139988899230957,nan,53_LOOCV
E69,456,C-triplet,0.6417796611785889,nan,0.8068649172782898,nan,-0.17212438583374023,nan,49_LOOCV
E70,456,A_5fold,0.15170417726039886,0.008165922947227955,0.21176962554454803,0.009663166478276253,0.7472977638244629,0.0191506277769804,5_folds
E70,456,B_5fold,0.08130155503749847,0.0012542296899482608,0.125202938914299,0.0020607528276741505,0.8456288576126099,0.004841730464249849,5_folds
E70,456,C-hole,0.37196803092956543,nan,0.520785391330719,nan,-0.10215187072753906,nan,53_LOOCV
E70,456,C-triplet,0.7911384701728821,nan,0.9686267375946045,nan,-0.6892149448394775,nan,49_LOOCV
E65,789,C-hole,0.4416266977787018,nan,0.6598030924797058,nan,-0.7691009044647217,nan,53_LOOCV
E65,789,C-triplet,0.6623141765594482,nan,0.8048285245895386,nan,-0.16621530055999756,nan,49_LOOCV
E68,789,A_5fold,0.15663160383701324,0.02098962478339672,0.2190113514661789,0.025054125115275383,0.7266244888305664,0.06539267301559448,5_folds
E68,789,B_5fold,0.08120469748973846,0.005550641566514969,0.12303479760885239,0.006424827966839075,0.8509518504142761,0.01126406155526638,5_folds
E68,789,C-hole,0.40597015619277954,nan,0.5582338571548462,nan,-0.266357421875,nan,53_LOOCV
E68,789,C-triplet,0.6663637757301331,nan,0.8526540994644165,nan,-0.30893421173095703,nan,49_LOOCV
E69,789,A_5fold,0.16733253002166748,0.0036173793487250805,0.23409298062324524,0.006671716924756765,0.6912261247634888,0.016692757606506348,5_folds
E69,789,B_5fold,0.09916845709085464,0.002693173475563526,0.15333689749240875,0.007303596939891577,0.7678282260894775,0.022929472848773003,5_folds
E69,789,C-hole,0.3572923541069031,nan,0.4935501217842102,nan,0.010111212730407715,nan,53_LOOCV
E69,789,C-triplet,0.6637680530548096,nan,0.8288090825080872,nan,-0.23674750328063965,nan,49_LOOCV
E70,789,A_5fold,0.14441482722759247,0.0051404377445578575,0.20433545112609863,0.007472394499927759,0.7645927667617798,0.017259713262319565,5_folds
E70,789,B_5fold,0.08199014514684677,0.0026873815804719925,0.12425245344638824,0.006147665437310934,0.8478431701660156,0.01273206528276205,5_folds
E70,789,C-hole,0.38222891092300415,nan,0.5290330648422241,nan,-0.13733792304992676,nan,53_LOOCV
E70,789,C-triplet,0.771801769733429,nan,0.9458626508712769,nan,-0.6107503175735474,nan,49_LOOCV
E65,1000,C-hole,0.4050767421722412,nan,0.6276504397392273,nan,-0.6008830070495605,nan,53_LOOCV
E65,1000,C-triplet,0.743303120136261,nan,0.910615861415863,nan,-0.4929403066635132,nan,49_LOOCV
E68,1000,A_5fold,0.14765004813671112,0.0020263034384697676,0.2074991762638092,0.005852310452610254,0.7575138807296753,0.010745527222752571,5_folds
E68,1000,B_5fold,0.08023633807897568,0.0023122583515942097,0.1232023686170578,0.0033583936747163534,0.8504699468612671,0.0076661426573991776,5_folds
E68,1000,C-hole,0.3898117244243622,nan,0.5269717574119568,nan,-0.12849223613739014,nan,53_LOOCV
E68,1000,C-triplet,0.6735529899597168,nan,0.8342804312705994,nan,-0.2531301975250244,nan,49_LOOCV
E69,1000,A_5fold,0.15485408902168274,0.0051682800985872746,0.21792033314704895,0.009245793335139751,0.7323881387710571,0.01947973296046257,5_folds
E69,1000,B_5fold,0.09279117733240128,0.0062386998906731606,0.14035429060459137,0.007098297122865915,0.8054373860359192,0.02049090340733528,5_folds
E69,1000,C-hole,0.3880937695503235,nan,0.5308834314346313,nan,-0.1453077793121338,nan,53_LOOCV
E69,1000,C-triplet,0.5789397954940796,nan,0.7375362515449524,nan,0.02064812183380127,nan,49_LOOCV
E70,1000,A_5fold,0.15096648037433624,0.006288602016866207,0.21145391464233398,0.011202852241694927,0.7475582361221313,0.0270064827054739,5_folds
E70,1000,B_5fold,0.08188831806182861,0.004114262759685516,0.1243727058172226,0.005748809315264225,0.847433865070343,0.013471579179167747,5_folds
E70,1000,C-hole,0.37289220094680786,nan,0.5167573094367981,nan,-0.08516848087310791,nan,53_LOOCV
E70,1000,C-triplet,0.80560302734375,nan,0.9771557450294495,nan,-0.719093918800354,nan,49_LOOCV
