comparison,n_pairs,mae_ref,mae_other,mae_diff,ci_low,ci_high,ref_wins,ref_loses,ties,wilcoxon_stat,wilcoxon_p,reference,compared_to
fedper_cal vs fedper,100,0.2858449409902096,0.2757385811209679,0.010106359869241714,-0.024964223645627497,0.04780526791512966,45,55,0,2425.0,0.7309722689902687,fedper_cal,fedper
fedper_cal vs fedavg_no_cal,100,0.2858449409902096,0.32896881505846975,-0.043123874068260196,-0.07733477343246341,-0.008557581666857031,62,38,0,1751.0,0.007784802463816209,fedper_cal,fedavg_no_cal
fedper_cal vs local,100,0.2858449409902096,0.24255307123064995,0.043291869759559634,0.0035858856551349164,0.08495061996579169,48,52,0,2044.0,0.09816119491270844,fedper_cal,local
fedper vs fedavg_no_cal,100,0.2757385811209679,0.32896881505846975,-0.053230233937501904,-0.08390620588138699,-0.02305872311443091,64,36,0,1579.0,0.0011433209876770154,fedper,fedavg_no_cal
fedper vs local,100,0.2757385811209679,0.24255307123064995,0.03318550989031792,0.0013272558525204666,0.0653879803456366,44,56,0,1975.0,0.05861384418740005,fedper,local
