method,MAE_mean_over_seeds,MAE_sem_over_seeds,MAE_std_over_seeds,RMSE_mean_over_seeds,R2_mean_over_seeds,n_seeds
local,0.30895087122917175,0.009588115607129211,0.021439678273667585,0.4128574013710022,-0.3346028864383698,5
fedavg_no_cal,0.3422003030776978,0.012335733963032863,0.027583539693694363,0.4010664582252502,-0.24730527624487877,5
fedper,0.3575058221817017,0.040211548159315415,0.08991575516473581,0.45245797634124757,-0.962974464893341,5
fedper_cal,0.3402031660079956,0.02104654595018555,0.0470615074361878,0.4344499707221985,-0.6485178470611572,5
