experiment_id,phase,seed,pseudo_task_id,method,target,fold,n_train,n_test,label_transform,MAE,RMSE,R2,elapsed_sec
label_scale_stress,phase1,456,S1_target,local,S1_target,1,80,20,identity,0.39639404,0.53078556,-0.41881227,1.7516226768493652
label_scale_stress,phase1,456,S1_target,local,S1_target,2,80,20,identity,0.3272769,0.50214094,0.09790003,1.788163423538208
label_scale_stress,phase1,456,S1_target,local,S1_target,3,80,20,identity,0.3129433,0.40457767,0.099986374,1.7285478115081787
label_scale_stress,phase1,456,S1_target,local,S1_target,4,80,20,identity,0.25181296,0.38345122,0.21448159,1.7570111751556396
label_scale_stress,phase1,456,S1_target,fedavg_no_cal,S1_target,0,80,20,identity,0.20965573,0.24645844,0.12514758,16.65511989593506
label_scale_stress,phase1,456,S1_target,fedavg_no_cal,S1_target,1,80,20,identity,0.4117133,0.45876926,-0.059925556,16.089787006378174
label_scale_stress,phase1,456,S1_target,fedavg_no_cal,S1_target,2,80,20,identity,0.319953,0.47761878,0.18385702,15.939041137695312
label_scale_stress,phase1,456,S1_target,fedavg_no_cal,S1_target,3,80,20,identity,0.28858274,0.3821144,0.19715428,15.935568809509277
label_scale_stress,phase1,456,S1_target,fedavg_no_cal,S1_target,4,80,20,identity,0.40993977,0.46209803,-0.14078641,16.040035724639893
label_scale_stress,phase1,456,S1_target,fedper,S1_target,0,80,20,identity,0.33802956,0.5041059,-2.660083,15.891084671020508
label_scale_stress,phase1,456,S1_target,fedper,S1_target,1,80,20,identity,0.7763556,0.92533714,-3.3120794,15.915166854858398
label_scale_stress,phase1,456,S1_target,fedper,S1_target,2,80,20,identity,0.37505224,0.5091045,0.07270634,16.20151996612549
label_scale_stress,phase1,456,S1_target,fedper,S1_target,3,80,20,identity,0.4004601,0.45966452,-0.16178906,15.898522853851318
label_scale_stress,phase1,456,S1_target,fedper,S1_target,4,80,20,identity,0.534826,0.6312052,-1.1285176,15.892953395843506
label_scale_stress,phase1,456,S1_target,fedper_cal,S1_target,0,80,20,identity,0.25288272,0.33117554,-0.57966113,15.933810949325562
label_scale_stress,phase1,456,S1_target,fedper_cal,S1_target,1,80,20,identity,0.5614926,0.6660458,-1.2340605,16.375821352005005
label_scale_stress,phase1,456,S1_target,fedper_cal,S1_target,2,80,20,identity,0.26891443,0.4317155,0.33319527,16.004910469055176
label_scale_stress,phase1,456,S1_target,fedper_cal,S1_target,3,80,20,identity,0.31312954,0.41743106,0.041891277,15.903888702392578
label_scale_stress,phase1,456,S1_target,fedper_cal,S1_target,4,80,20,identity,0.510701,0.641697,-1.1998656,15.888631343841553
label_scale_stress,phase1,789,S1_target,local,S1_target,0,80,20,identity,0.32785112,0.47354034,-0.008287072,1.8067142963409424
label_scale_stress,phase1,789,S1_target,local,S1_target,1,80,20,identity,0.38724947,0.5180325,-1.4315188,1.7445032596588135
label_scale_stress,phase1,789,S1_target,local,S1_target,2,80,20,identity,0.2804179,0.34734404,-0.09650445,1.738985538482666
label_scale_stress,phase1,789,S1_target,local,S1_target,3,80,20,identity,0.38660938,0.47522753,-0.5408294,1.7651102542877197
label_scale_stress,phase1,789,S1_target,local,S1_target,4,80,20,identity,0.23537683,0.3315685,-0.27536845,1.7447359561920166
label_scale_stress,phase1,789,S1_target,fedavg_no_cal,S1_target,0,80,20,identity,0.39152744,0.48226306,-0.045774937,16.11734652519226
label_scale_stress,phase1,789,S1_target,fedavg_no_cal,S1_target,1,80,20,identity,0.36627162,0.42895815,-0.66722226,15.969645023345947
label_scale_stress,phase1,789,S1_target,fedavg_no_cal,S1_target,2,80,20,identity,0.36780825,0.4092916,-0.5224967,15.952921867370605
label_scale_stress,phase1,789,S1_target,fedavg_no_cal,S1_target,3,80,20,identity,0.35571176,0.38724464,-0.023109794,16.507874011993408
label_scale_stress,phase1,789,S1_target,fedavg_no_cal,S1_target,4,80,20,identity,0.3000802,0.35564664,-0.46732605,15.97091293334961
label_scale_stress,phase1,789,S1_target,fedper,S1_target,0,80,20,identity,0.47650227,0.5219337,-0.22490084,15.93252968788147
label_scale_stress,phase1,789,S1_target,fedper,S1_target,1,80,20,identity,0.22011559,0.28861973,0.24522817,15.819741010665894
label_scale_stress,phase1,789,S1_target,fedper,S1_target,2,80,20,identity,0.41530213,0.5484664,-1.7339513,15.718173742294312
label_scale_stress,phase1,789,S1_target,fedper,S1_target,3,80,20,identity,0.28377753,0.38510123,-0.01181519,15.647956848144531
label_scale_stress,phase1,789,S1_target,fedper,S1_target,4,80,20,identity,0.24227062,0.32835683,-0.25078094,15.753005981445312
label_scale_stress,phase1,789,S1_target,fedper_cal,S1_target,0,80,20,identity,0.33507752,0.38524517,0.33266383,15.634297847747803
label_scale_stress,phase1,789,S1_target,fedper_cal,S1_target,1,80,20,identity,0.36357027,0.43764773,-0.7354537,15.632065773010254
label_scale_stress,phase1,789,S1_target,fedper_cal,S1_target,2,80,20,identity,0.29558748,0.38836476,-0.3707881,15.636720180511475
label_scale_stress,phase1,789,S1_target,fedper_cal,S1_target,3,80,20,identity,0.2270463,0.3021228,0.37724328,15.71124529838562
label_scale_stress,phase1,789,S1_target,fedper_cal,S1_target,4,80,20,identity,0.6616427,0.73989344,-5.3507857,15.70804738998413
label_scale_stress,phase1,1000,S1_target,local,S1_target,0,80,20,identity,0.24487524,0.31877384,0.12457025,1.7344136238098145
label_scale_stress,phase1,1000,S1_target,local,S1_target,1,80,20,identity,0.25847393,0.35548052,-0.7263737,1.8945915699005127
label_scale_stress,phase1,1000,S1_target,local,S1_target,2,80,20,identity,0.21287075,0.27988207,-0.6317643,1.726992130279541
label_scale_stress,phase1,1000,S1_target,local,S1_target,3,80,20,identity,0.31260744,0.4208866,0.3787691,1.719757318496704
label_scale_stress,phase1,1000,S1_target,local,S1_target,4,80,20,identity,0.33890983,0.4248177,-0.18458748,1.7214810848236084
