seed,method,elapsed_sec_total,elapsed_sec_per_fold_mean
42,local,10.327441453933716,2.0654882907867433
42,fedavg_no_cal,79.10403347015381,15.820806694030761
42,fedper,78.94642543792725,15.78928508758545
42,fedper_cal,79.85049104690552,15.970098209381103
123,local,8.86005187034607,1.772010374069214
123,fedavg_no_cal,80.50366353988647,16.100732707977294
123,fedper,79.49564051628113,15.899128103256226
123,fedper_cal,78.90734815597534,15.781469631195069
456,local,8.749096393585205,1.749819278717041
456,fedavg_no_cal,80.66859602928162,16.133719205856323
456,fedper,79.80762982368469,15.96152596473694
456,fedper_cal,80.11545729637146,16.02309145927429
789,local,8.80345368385315,1.76069073677063
789,fedavg_no_cal,80.52740693092346,16.105481386184692
789,fedper,78.87893557548523,15.775787115097046
789,fedper_cal,78.32987213134766,15.665974426269532
1000,local,8.79957914352417,1.759915828704834
1000,fedavg_no_cal,79.30190563201904,15.860381126403809
1000,fedper,79.13647723197937,15.827295446395874
1000,fedper_cal,79.1862301826477,15.83724603652954
